variable,question_text
RESPNO,Respondent number
COUNTRY,Country
COUNTRY_Old.order,Country in R7 Old Alphabetical Order | Country
COUNTRY_R5List,Country in R5 Alphabetical Order | Country
COUNTRY_R6List,Country in R6 Alphabetical Order | Country
COUNTRY.BY.REGION,Country by Region | Country
URBRUR,Urban or Rural Primary Sampling Unit | PSU/EA
REGION,Province or region | Region/Province
LOCATION.LEVEL.1,Location Level 1
EA_SVC_A,EA-SVC-A. Electricity grid in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Electricity grid that most houses could access?
EA_SVC_B,EA-SVC-B. Piped water system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Piped water system that most houses could access?
EA_SVC_C,EA-SVC-B. Sewage system in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Sewage system that most houses could access?
EA_SVC_D,EA-SVC-D. Cell phone service in the PSU/EA | Are the following services present in the primary sampling unit/enumeration area: Cell phone service? 4
EA_FAC_A,"EA-FAC-A. Post office in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Post-office?"
EA_FAC_B,"EA-FAC-B. School in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: School?"
EA_FAC_C,"EA-FAC-C. Police station in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Police station?"
EA_FAC_D,"EA-FAC-D. Health Clinic in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Health clinic?"
EA_FAC_E,"EA-FAC-E. Market stalls in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Market stalls (selling groceries and/or clothing)?"
EA_FAC_F,"BEA-FAC-F. Bank in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Bank?"
EA_FAC_G,"EA-FAC-E. Paid transport in the PSU/EA | Are the following facilities present in the primary sampling unit/enumeration area, or within easy walking distance: Is there any kind of paid transport, such as a bus, taxi, moped, or other form, available on a daily basis?"
EA_SEC_A,"EA-SEC-A. Police in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any policemen or police vehicles?"
EA_SEC_B,"EA-SEC-B. Soldiers/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any soldiers or army vehicles?"
EA_SEC_C,"EA-SEC-C. Roadblocks by police/army in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks set up by police or army?"
EA_SEC_D,"EA_SEC_D. Customs checkpoints in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any customs checkpoints?"
EA_SEC_E,"EA_SEC_E. Roadblocks by private security/local community in the PSU/EA | In the PSU/EA, did you (or any of your colleagues) see: Any roadblocks or booms set up by the private security providers or by the local community?"
EA_ROAD_A,EA-ROAD-A. Road surface at start point | Thinking of your journey here: Was the road at the start point in the PSU/EA:
EA_ROAD_B,EA-ROAD-B. Road surface last 5 km | Thinking of your journey here: What was the most common surface of the road over the last 5 kilometers before arriving at the start point of the PSU/EA?
EA_ROAD_C,"EA-ROAD-C. Road condition last 5 km | Thinking of your journey here: What was the condition of the road in the last 5 km before reaching the start point of the PSU/EA? Was the road in excellent or good condition and easy to traverse, or was it in poor or very poor condition, that is, difficult to traverse due to potholes, waterlogging or other issues, or was it impassable at any point (e.g., due to a collapsed bridge, fallen tree, flooding, etc.)?"
NOCALL_1,Reason for Unsuccessful Call Household 1 | Reasons for unsuccessful calls: Household 1
NOCALL_1OTHER,Reason for Unsuccessful Call Household 1 (Verbatim) | Reasons for unsuccessful calls: Household 1
NOCALL_2,Reason for Unsuccessful Call Household 2 | Reasons for unsuccessful calls: Household 2
NOCALL_2OTHER,Reason for Unsuccessful Call Household 2 (Verbatim) | Reasons for unsuccessful calls: Household 2
NOCALL_3,Reason for Unsuccessful Call Household 3 | Reasons for unsuccessful calls: Household 3
NOCALL_3OTHER,Reason for Unsuccessful Call Household 3 (Verbatim) | Reasons for unsuccessful calls: Household 3
NOCALL_4,Reason for Unsuccessful Call Household 4 | Reasons for unsuccessful calls: Household 4
NOCALL_4OTHER,Reason for Unsuccessful Call Household 4 (Verbatim) | Reasons for unsuccessful calls: Household 4
